"sex"	"day"
"m"	"010101,360,010000,50,060000,265,180000,11,050000,79,180000,10,070000,4,110000,91,180000,45,020000,15,110000,26,120000,48,020000,106,010101,330"
"m"	"010101,165,010000,10,050000,305,110000,60,050000,90,180000,37,120000,140,180000,45,110000,93,120000,120,010101,375"
"m"	"010101,120,180000,30,140000,30,180000,55,050000,215,180000,10,050000,260,180000,5,020000,55,120000,480,010101,180"
"m"	"010101,120,010000,15,180000,15,050000,100,other,50,180000,30,110000,10,180000,2,020000,123,110000,15,060000,50,110000,45,050000,25,180000,28,050000,92,180000,60,020000,30,130000,13,180000,17,120000,100,010101,500"
"m"	"010000,30,110000,20,180000,15,050000,55,180000,5,140000,115,110000,45,180000,45,070000,5,180000,10,050000,75,110000,30,050000,270,180000,15,other,40,180000,5,140000,61,180000,9,020000,40,010000,15,120000,67,010000,73,120000,50,010000,22,010101,323"
"m"	"010101,90,010000,30,180000,5,other,5,180000,5,030000,25,180000,1,130000,19,030000,7,180000,13,050000,580,180000,70,120000,260,010101,330"
"m"	"180000,25,050000,35,120000,55,180000,15,050000,200,110000,20,050000,115,110000,15,050000,120,180000,38,070000,22,180000,30,120000,107,010101,43,110000,125,120000,60,110000,25,120000,45,050000,135,120000,40,010101,170"
"m"	"010101,60,020000,25,010000,5,110000,5,120000,120,010000,85,120000,120,020000,55,110000,68,050000,42,120000,175,010000,10,020000,260,120000,60,180000,58,040000,1,180000,21,010101,270"
"m"	"010101,30,110000,30,130000,115,050000,80,180000,5,130000,85,110000,5,050000,130,110000,30,050000,90,120000,60,180000,35,070000,8,180000,17,050000,30,180000,10,110000,15,120000,5,110000,15,020000,20,180000,35,110000,55,180000,36,110000,14,120000,80,050000,15,120000,110,010101,280"
"m"	"010101,390,120000,420,180000,30,120000,60,010000,115,120000,125,010000,15,020000,5,120000,10,010101,270"
"m"	"010101,480,120000,60,050000,315,120000,420,010000,25,180000,28,010000,22,010101,90"
"m"	"010101,330,010000,15,020000,25,110000,65,180000,30,110000,15,050000,360,180000,15,120000,195,010101,390"
"m"	"010101,180,010000,30,180000,5,010101,145,110000,2,180000,8,070000,12,180000,13,110000,10,060000,30,110000,45,160000,10,020000,14,180000,1,070000,5,060000,210,180000,5,040000,3,180000,2,110000,5,120000,55,050000,170,110000,30,050000,97,010101,353"
"m"	"010101,240,120000,60,020000,80,050000,125,180000,2,140000,88,010000,5,180000,55,020000,77,120000,81,180000,47,120000,40,110000,35,120000,318,010000,18,120000,49,180000,14,010000,1,010101,105"
"m"	"010101,60,020000,25,010000,5,020000,90,180000,15,050000,345,110000,40,120000,203,180000,37,110000,10,020000,15,120000,25,180000,27,110000,33,020000,20,120000,100,110000,40,010101,350"
"m"	"010000,20,180000,18,110000,42,010000,10,110000,5,020000,5,120000,20,020000,45,other,58,020000,37,180000,9,120000,31,110000,15,180000,15,050000,270,180000,10,050000,110,180000,10,120000,290,010101,420"
"m"	"010101,120,120000,30,010000,150,120000,60,020000,15,050000,75,150000,34,180000,17,110000,29,050000,40,110000,25,050000,245,180000,12,110000,78,120000,90,140000,41,010101,379"
"m"	"010101,245,010000,25,180000,30,050000,30,120000,45,050000,135,110000,10,050000,110,120000,77,180000,8,010000,25,110000,15,020000,55,180000,3,110000,32,020000,9,180000,16,040000,5,020000,5,120000,215,010101,345"
"m"	"010101,180,010000,15,180000,25,020000,20,050000,330,110000,50,050000,70,180000,48,120000,227,010000,9,120000,136,010101,330"
"m"	"010101,150,110000,20,180000,30,050000,340,180000,30,050000,210,120000,15,020000,25,110000,170,120000,60,010000,4,020000,26,120000,25,010101,335"
"m"	"010101,140,110000,10,050000,540,180000,60,120000,75,020000,5,120000,100,020000,25,010000,10,120000,10,010000,30,010101,435"
"m"	"010101,180,110000,3,020000,47,030000,10,180000,69,020000,81,110000,32,020000,103,180000,10,020000,80,050000,105,180000,46,010000,93,180000,1,010000,15,120000,265,010101,300"
"m"	"010101,150,180000,50,030000,5,010000,5,180000,17,050000,193,110000,30,050000,150,180000,15,020000,125,120000,100,180000,90,010000,30,010101,480"
"m"	"010101,120,010000,45,180000,30,110000,6,010101,39,110000,10,020000,25,050000,205,180000,5,070000,10,180000,15,120000,180,010101,90,180000,45,110000,105,120000,90,010000,40,010101,380"
"m"	"010101,420,010000,7,180000,18,110000,5,050000,90,110000,10,070000,11,180000,13,070000,11,other,35,180000,30,020000,112,120000,168,010000,55,other,15,180000,35,020000,10,120000,5,010101,330,010000,40,110000,5,180000,15"
"m"	"010101,90,010000,15,110000,45,120000,150,180000,30,060000,30,130000,120,050000,60,110000,1,050000,89,120000,420,010000,40,010101,350"
"m"	"010101,120,020000,10,110000,30,020000,2,110000,13,010000,5,020000,25,180000,10,030000,3,180000,45,050000,110,120000,7,110000,40,050000,60,110000,40,180000,30,070000,15,180000,80,020000,120,050000,45,180000,55,120000,5,110000,20,050000,20,180000,40,120000,27,010101,463"
"m"	"010101,60,130000,70,110000,5,010000,15,110000,15,180000,23,030000,21,180000,1,050000,570,020000,100,110000,20,120000,225,010101,315"
"m"	"010101,480,110000,45,180000,17,110000,28,050000,150,180000,20,070000,35,110000,23,120000,42,110000,100,120000,110,010101,390"
"m"	"010101,180,010000,10,110000,5,180000,15,050000,30,120000,285,180000,20,050000,415,180000,45,120000,105,010101,330"
"m"	"010101,60,010000,30,180000,40,020000,6,180000,36,060000,278,110000,1,120000,554,110000,15,120000,30,010101,390"
"m"	"010101,210,010000,60,110000,15,180000,5,070000,115,180000,5,other,20,180000,25,110000,3,020000,167,120000,80,180000,5,080000,40,180000,5,070000,20,180000,20,070000,87,180000,43,110000,30,010101,485"
"m"	"010101,180,030000,12,180000,18,030000,15,180000,5,030000,11,180000,4,050000,655,180000,5,010000,35,150000,85,010000,15,020000,20,120000,140,010000,20,010101,220"
"m"	"010101,240,110000,20,180000,23,010101,17,180000,15,050000,225,110000,20,050000,200,180000,5,120000,30,050000,60,110000,105,010000,10,120000,35,010101,435"
"m"	"010101,300,020000,375,110000,15,120000,124,160000,11,120000,10,020000,20,110000,15,120000,25,020000,17,110000,18,180000,20,110000,20,180000,54,050000,126,010101,290"
"m"	"010101,180,010000,30,180000,30,050000,480,110000,55,120000,90,020000,10,110000,25,180000,20,110000,23,120000,180,160000,17,120000,21,010101,279"
"m"	"010101,60,110000,50,050000,370,110000,20,120000,40,180000,16,050000,164,180000,5,130000,145,050000,242,180000,28,020000,2,010101,298"
"m"	"010101,120,010000,35,110000,10,010000,20,050000,205,180000,20,110000,25,120000,45,180000,5,020000,10,120000,225,180000,41,070000,84,180000,50,110000,35,010000,20,120000,70,110000,60,180000,55,120000,35,010101,270"
"m"	"010101,20,010000,10,120000,90,010000,30,030000,35,180000,10,050000,555,180000,25,120000,245,010101,420"
"m"	"010101,120,010000,50,110000,10,180000,30,050000,240,110000,30,050000,90,180000,6,020000,114,120000,10,180000,18,070000,2,180000,5,110000,60,030000,5,180000,20,010000,26,110000,4,010000,30,180000,57,120000,63,110000,40,020000,10,110000,10,010101,390"
"m"	"010101,270,110000,20,020000,30,120000,40,160000,32,010000,58,110000,30,120000,300,110000,25,020000,5,110000,10,020000,22,110000,1,020000,42,110000,55,120000,26,010000,24,030000,15,180000,55,other,15,180000,40,120000,130,010101,195"
"m"	"010101,360,010000,30,180000,35,110000,15,010000,40,180000,18,070000,32,180000,6,050000,72,180000,7,110000,5,020000,16,120000,99,110000,15,180000,15,040000,15,180000,32,110000,33,160000,2,020000,33,110000,20,120000,115,010000,5,140000,60,180000,10,010000,11,010101,339"
"m"	"010101,90,180000,8,070000,3,120000,109,020000,30,010000,31,110000,14,130000,90,050000,45,110000,60,180000,20,110000,60,180000,5,110000,65,120000,60,020000,18,060000,42,180000,10,070000,13,180000,27,040000,36,120000,124,030000,75,010101,405"
"m"	"010101,300,180000,30,050000,90,110000,45,120000,215,180000,30,070000,96,180000,64,120000,105,180000,30,010000,15,180000,45,070000,5,030000,71,010101,299"
"m"	"010101,300,050000,465,010000,15,110000,10,020000,7,120000,34,180000,9,110000,20,150000,165,180000,35,120000,27,040000,4,180000,14,110000,55,010000,125,010101,155"
"m"	"010101,210,110000,25,180000,5,110000,1,020000,9,050000,260,120000,218,180000,7,030000,41,180000,9,070000,40,180000,30,110000,36,120000,244,180000,20,010000,15,010101,270"
"m"	"010101,60,010000,30,180000,5,040000,22,180000,3,050000,420,110000,15,050000,105,180000,10,other,25,180000,95,070000,15,180000,2,110000,28,180000,5,110000,10,120000,15,110000,5,030000,52,120000,68,030000,12,020000,98,120000,10,010101,330"
"m"	"010101,150,120000,75,180000,15,050000,240,110000,29,120000,31,180000,2,050000,350,030000,53,020000,30,120000,150,010101,315"
"m"	"010101,180,010000,20,180000,65,050000,425,180000,40,070000,26,180000,9,110000,16,180000,14,120000,15,110000,25,other,20,050000,315,180000,10,010000,22,010101,238"
"m"	"010101,240,180000,60,050000,390,110000,35,030000,20,020000,15,120000,56,110000,19,020000,25,140000,135,120000,210,010101,235"
"m"	"010101,150,010000,30,120000,170,050000,70,110000,60,050000,300,120000,100,180000,25,130000,5,180000,10,020000,60,010000,95,120000,25,180000,10,010000,30,120000,90,020000,62,120000,28,010101,120"
"m"	"180000,40,050000,320,120000,10,050000,80,110000,15,050000,266,180000,19,other,140,180000,65,020000,80,110000,30,120000,60,010000,55,120000,55,010101,205"
"m"	"010101,120,010000,80,110000,30,120000,10,010000,30,180000,25,050000,350,140000,35,other,90,180000,15,110000,10,120000,100,020000,24,040000,1,180000,10,110000,10,120000,200,010000,30,010101,270"
"m"	"010000,30,180000,110,050000,160,180000,5,050000,265,110000,52,180000,13,070000,89,180000,56,020000,3,160000,64,020000,33,110000,35,180000,47,030000,24,050000,14,120000,200,180000,69,040000,2,180000,14,050000,155"
"m"	"010101,150,010000,30,020000,15,010000,30,180000,43,060000,212,180000,11,070000,34,180000,15,120000,253,020000,47,120000,80,020000,25,120000,75,010000,26,020000,54,120000,55,010101,285"
"m"	"010101,180,020000,90,other,95,180000,65,070000,25,180000,12,040000,35,180000,23,080000,10,070000,7,180000,13,070000,20,180000,5,050000,115,180000,10,030000,15,110000,10,050000,230,110000,2,040000,13,180000,30,030000,10,120000,5,010101,420"
"m"	"010101,150,010000,50,110000,10,180000,25,050000,245,110000,5,010101,190,060000,75,180000,25,120000,15,020000,125,120000,92,010101,433"
"m"	"010101,420,010000,50,110000,50,050000,170,180000,5,070000,40,180000,16,070000,29,180000,68,150000,7,180000,25,110000,50,120000,240,010000,30,010101,240"
"m"	"010101,90,110000,60,180000,45,050000,555,180000,16,120000,24,050000,80,180000,15,120000,225,010101,330"
"m"	"010101,180,180000,90,050000,180,180000,20,110000,10,050000,345,020000,30,110000,75,120000,210,010101,300"
"m"	"010101,60,010000,25,020000,5,180000,30,050000,30,110000,10,020000,1,110000,19,050000,310,180000,20,070000,10,180000,15,070000,20,180000,104,010000,21,110000,63,120000,373,010101,324"
"m"	"010101,140,010000,10,020000,72,other,3,180000,16,050000,209,180000,33,050000,462,180000,6,030000,39,010000,15,120000,15,110000,15,010000,45,010101,360"
"m"	"010101,90,010000,5,020000,100,180000,11,030000,19,180000,16,050000,79,120000,56,130000,14,180000,20,130000,40,050000,150,110000,45,020000,46,110000,28,180000,11,010000,3,010101,2,020000,45,180000,60,110000,45,020000,60,110000,35,010000,25,120000,165,010101,270"
"m"	"010101,30,010000,23,180000,82,020000,15,180000,10,110000,2,060000,273,020000,45,010000,8,180000,27,110000,10,050000,435,180000,16,020000,4,030000,38,120000,99,010000,13,120000,35,020000,3,010101,272"
"m"	"010101,30,180000,10,050000,560,180000,20,020000,30,160000,32,020000,23,110000,20,010000,15,120000,287,030000,23,180000,5,110000,18,010000,57,010101,280,010000,30"
"m"	"010101,210,110000,60,050000,330,180000,15,080000,25,180000,65,020000,75,110000,50,120000,220,010101,390"
"m"	"010101,240,010000,15,020000,50,060000,132,050000,43,110000,50,120000,123,050000,7,180000,10,020000,4,050000,106,180000,15,080000,30,180000,20,110000,10,120000,165,010000,61,160000,59,120000,60,180000,7,120000,53,010101,180"
"m"	"010101,210,010000,5,180000,26,050000,239,110000,30,020000,30,120000,117,020000,182,120000,181,010000,55,010101,365"
"m"	"010101,210,010000,25,010101,65,010000,30,180000,5,030000,45,180000,10,020000,60,180000,18,030000,12,110000,30,120000,150,010101,30,010000,5,120000,205,010101,540"
"m"	"010101,270,020000,35,120000,112,020000,3,010000,60,110000,95,020000,20,120000,22,180000,3,030000,130,020000,25,180000,5,030000,20,120000,10,010101,630"
"m"	"010101,210,120000,10,060000,85,110000,25,020000,10,180000,20,030000,90,110000,50,120000,140,180000,20,110000,30,120000,15,020000,20,010000,40,120000,45,180000,5,120000,52,110000,23,130000,70,180000,5,120000,70,010000,25,110000,30,010101,350"
"m"	"010101,90,180000,40,050000,110,110000,4,010000,111,020000,35,180000,15,130000,91,180000,29,110000,15,050000,120,120000,180,110000,30,050000,270,110000,30,010101,270"
"m"	"010101,240,010000,36,120000,54,020000,75,120000,90,050000,195,180000,16,120000,8,180000,43,020000,83,110000,45,120000,245,010101,310"
"m"	"010101,120,010000,20,110000,10,180000,10,020000,60,180000,5,040000,5,180000,10,050000,270,110000,28,180000,2,other,60,180000,3,080000,27,180000,10,160000,31,010000,49,180000,10,070000,20,180000,5,070000,60,180000,25,010000,5,180000,13,120000,102,010101,480"
"m"	"010101,60,010000,7,050000,533,130000,75,180000,18,070000,27,180000,5,030000,5,180000,5,070000,15,180000,15,110000,15,120000,202,020000,8,110000,15,120000,105,010101,330"
"m"	"010101,120,010000,60,020000,10,030000,15,180000,35,020000,45,120000,75,180000,15,070000,100,180000,2,050000,33,070000,5,180000,28,070000,47,180000,20,070000,10,110000,25,020000,10,030000,13,180000,2,070000,40,180000,10,030000,15,020000,20,180000,25,130000,33,180000,17,020000,40,180000,5,010000,15,030000,40,020000,13,120000,227,010101,270"
"m"	"010101,120,030000,20,180000,1,020000,54,030000,2,180000,5,050000,278,110000,15,010101,7,180000,3,070000,15,180000,30,050000,500,120000,63,020000,12,010000,15,120000,60,010101,240"
"m"	"010101,60,020000,40,110000,50,020000,2,120000,28,010101,30,030000,5,050000,265,180000,10,110000,20,010000,10,030000,45,070000,2,180000,33,010101,180,020000,70,120000,230,010000,30,010101,330"
"m"	"010101,180,110000,15,180000,55,050000,245,120000,15,180000,15,050000,65,110000,10,050000,115,020000,5,120000,22,020000,8,030000,30,180000,15,110000,45,120000,85,180000,15,040000,13,180000,2,020000,82,010000,3,120000,40,010101,360"
"m"	"010101,480,110000,30,050000,345,180000,20,110000,25,020000,90,120000,90,010101,360"
"m"	"010101,330,180000,50,120000,126,180000,16,070000,13,180000,21,060000,142,180000,12,020000,141,110000,9,010000,10,120000,150,010101,420"
"m"	"010101,120,110000,20,010000,12,110000,28,180000,1,050000,539,180000,40,020000,40,120000,340,010101,300"
"m"	"010101,210,130000,30,010000,37,030000,16,180000,27,020000,85,120000,105,180000,5,070000,25,180000,12,070000,3,180000,10,070000,20,180000,20,070000,60,180000,5,010000,20,120000,150,110000,60,120000,150,180000,17,010000,13,110000,15,050000,15,180000,10,040000,10,110000,5,010101,305"
"m"	"010101,60,030000,60,020000,10,180000,35,120000,135,020000,233,180000,17,050000,145,180000,5,120000,392,010000,18,120000,35,010101,295"
"m"	"010101,60,010000,30,180000,97,060000,263,110000,15,010000,60,020000,50,120000,175,180000,10,120000,20,180000,25,010000,5,020000,15,120000,15,110000,45,120000,40,180000,35,030000,100,120000,156,180000,34,110000,10,050000,30,010101,150"
"m"	"010000,3,010101,117,050000,120,110000,15,180000,25,050000,200,110000,30,050000,240,180000,36,070000,9,180000,5,070000,2,180000,38,110000,60,120000,330,010101,210"
"m"	"010101,180,020000,30,180000,5,050000,85,110000,15,050000,285,110000,50,010101,70,120000,60,020000,20,120000,40,110000,5,180000,5,010000,10,020000,10,110000,25,120000,125,010101,420"
"m"	"010101,300,010000,20,110000,5,120000,80,180000,15,110000,30,050000,90,180000,7,050000,378,180000,5,110000,5,120000,55,180000,77,010000,3,020000,8,120000,92,010101,270"
"m"	"010101,240,180000,5,110000,15,180000,15,030000,85,180000,17,050000,103,130000,120,120000,180,020000,20,030000,15,010000,24,120000,131,060000,67,120000,118,010101,285"
"m"	"010101,120,010000,30,180000,15,030000,12,180000,3,050000,285,120000,15,110000,75,180000,5,040000,20,180000,11,070000,94,180000,10,020000,51,180000,4,010000,15,180000,45,010000,30,020000,65,120000,285,010101,250"
"m"	"010101,180,110000,55,050000,245,110000,60,050000,57,180000,25,050000,107,120000,21,050000,90,180000,15,040000,35,180000,10,110000,15,120000,98,010101,427"
"m"	"010101,60,010000,15,020000,45,130000,30,010000,5,020000,10,110000,38,020000,62,010000,35,020000,254,110000,76,120000,195,180000,25,050000,20,180000,25,070000,21,180000,9,110000,5,050000,15,180000,135,010000,50,030000,30,020000,50,110000,30,010000,5,010101,195"
"m"	"010101,180,030000,40,050000,140,120000,30,060000,90,110000,30,120000,90,020000,3,110000,17,120000,9,050000,211,180000,30,110000,20,120000,90,010101,460"
"m"	"010101,150,010000,90,110000,10,020000,130,010000,100,120000,15,110000,15,050000,240,180000,10,020000,35,120000,105,110000,41,030000,34,010101,465"
"m"	"010101,210,010000,5,180000,40,130000,165,020000,60,110000,90,050000,261,180000,20,070000,54,180000,5,070000,1,180000,20,030000,1,010000,35,120000,83,010101,390"
"m"	"010101,90,010000,30,120000,30,020000,15,180000,5,020000,15,other,27,180000,12,120000,31,050000,225,110000,60,130000,156,010000,22,020000,47,120000,260,020000,35,010000,3,010101,377"
"m"	"010101,60,010000,20,110000,10,180000,4,050000,386,180000,12,110000,33,050000,145,120000,16,060000,30,010101,109,120000,195,010101,420"
"m"	"010101,180,120000,20,060000,484,120000,126,180000,10,110000,20,120000,30,020000,32,120000,58,050000,60,180000,17,110000,33,120000,10,010000,5,010101,355"
"m"	"010101,120,020000,60,180000,1,050000,119,110000,42,180000,3,070000,85,180000,15,020000,95,050000,145,180000,65,010000,52,160000,98,120000,10,180000,5,020000,16,110000,29,180000,30,030000,75,120000,75,010101,300"
"m"	"010101,540,110000,25,180000,5,050000,30,180000,5,other,45,180000,10,110000,5,120000,65,other,50,120000,60,180000,10,130000,50,180000,40,120000,150,010101,350"
"m"	"010101,330,010000,13,050000,247,110000,10,050000,105,180000,65,020000,20,120000,230,010000,5,010101,415"
"m"	"010101,180,180000,105,050000,15,110000,45,050000,207,180000,3,070000,21,110000,9,120000,60,180000,35,020000,145,110000,115,120000,80,010000,15,180000,25,010000,20,010101,360"
"m"	"010000,20,other,70,180000,30,050000,190,other,70,180000,10,050000,105,110000,15,020000,170,180000,15,120000,145,110000,30,120000,150,020000,30,110000,10,050000,140,180000,25,030000,30,010101,185"
"m"	"010101,220,050000,620,180000,22,070000,8,180000,5,010000,25,180000,28,110000,12,030000,60,020000,20,010101,420"
"m"	"010101,180,010000,30,180000,15,030000,32,180000,11,050000,242,110000,30,050000,300,180000,44,020000,1,110000,35,120000,160,010101,360"
"m"	"010101,100,010000,15,180000,80,030000,40,180000,5,050000,420,180000,12,160000,33,120000,45,010000,29,020000,76,110000,105,120000,90,010000,75,010101,150,010000,21,010101,144"
"m"	"010101,30,020000,27,180000,43,120000,200,020000,180,120000,53,060000,157,010101,30,110000,75,120000,30,010000,55,other,12,110000,8,020000,80,180000,15,040000,5,180000,105,050000,80,110000,15,180000,45,110000,30,180000,35,010101,130"
"m"	"010101,570,010000,60,180000,30,020000,15,180000,22,010101,53,020000,30,130000,135,180000,25,110000,15,050000,60,other,10,180000,10,020000,15,050000,90,180000,39,050000,51,120000,90,010101,120"
"m"	"010101,180,010000,45,110000,15,180000,2,110000,48,180000,81,020000,51,010000,3,180000,30,110000,80,120000,65,020000,30,180000,26,050000,134,020000,105,130000,68,120000,117,020000,45,120000,10,010101,305"
"m"	"010101,276,020000,59,110000,15,050000,130,180000,10,070000,8,110000,32,180000,5,110000,5,050000,420,010000,55,010101,425"
"m"	"120000,180,180000,17,120000,277,110000,6,050000,300,180000,5,110000,29,030000,56,120000,30,110000,60,020000,43,180000,27,120000,170,010101,240"
"m"	"010101,600,010000,30,020000,45,160000,28,020000,67,110000,25,010000,30,180000,12,020000,3,110000,30,120000,30,010000,10,010101,530"
"m"	"010101,180,010000,35,180000,15,050000,415,120000,315,010000,25,160000,65,120000,120,010101,270"
"m"	"010101,660,010000,15,120000,45,110000,25,010101,95,110000,50,120000,130,010101,420"
"m"	"110000,1,020000,46,050000,643,other,5,180000,35,070000,20,180000,5,080000,15,180000,10,020000,18,110000,12,010000,29,120000,31,010000,5,180000,8,020000,17,180000,29,120000,46,020000,65,120000,280,010101,120"
