sex	name	num
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 10000, 110000, 120000, 10000, 10101"	"330, 30, 30, 30, 300, 30, 30, 300, 30, 30, 30, 195, 15, 60"
"m"	"10101, 10000, 110000, 120000, 110000, 10101, 120000, 110000, 120000, 10000, 10101"	"420, 15, 30, 225, 30, 120, 240, 30, 180, 30, 120"
"m"	"10101, 10000, 120000, 110000, 120000, 30000, 120000, 110000, 120000, 10101, 30000, 120000, 30000, 10000, 110000, 30000, 120000, 10101"	"360, 15, 45, 30, 90, 120, 30, 30, 30, 90, 60, 120, 60, 30, 30, 15, 270, 15"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 10000, 110000, 120000, 10000, 10101"	"450, 30, 15, 15, 210, 30, 30, 300, 15, 30, 30, 225, 15, 45"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 30000, 10000, 110000, 120000, 10101"	"390, 30, 30, 15, 255, 30, 30, 240, 15, 45, 30, 30, 285, 15"
"m"	"10101, 10000, 120000, 110000, 120000, 30000, 120000, 110000, 10101, 120000, 30000, 110000, 10000, 120000, 10101"	"285, 15, 135, 30, 135, 60, 60, 30, 45, 225, 30, 30, 30, 210, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 10101, 50000, 180000, 10000, 120000, 110000, 120000, 10101"	"390, 30, 15, 45, 240, 15, 15, 30, 270, 30, 30, 30, 15, 165, 120"
"m"	"10101, 10000, 120000, 110000, 120000, 110000, 120000, 110000, 10000, 120000, 10101"	"270, 30, 180, 30, 240, 30, 330, 30, 30, 60, 210"
"m"	"10101, 10000, 110000, 120000, 180000, 50000, 180000, 120000, 110000, 120000, 10000, 10101"	"360, 45, 15, 30, 30, 240, 30, 390, 15, 210, 30, 45"
"m"	"10101, 10000, 110000, 120000, 50000, 110000, 10101, 20000, 50000, 30000, 120000"	"540, 30, 30, 75, 165, 30, 45, 90, 285, 45, 105"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 110000, 10000, 120000"	"480, 30, 30, 180, 30, 360, 30, 30, 270"
"m"	"60000, 10000, 10101, 10000, 180000, 50000, 110000, 50000, 180000, 110000, 120000, 30000, 60000"	"30, 30, 525, 15, 60, 60, 30, 390, 60, 30, 90, 30, 90"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 120000, 10000, 110000, 120000, 10101"	"390, 30, 30, 30, 240, 30, 30, 210, 30, 30, 30, 60, 240, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 10000, 110000, 120000, 10101"	"420, 15, 15, 30, 240, 30, 30, 240, 30, 30, 30, 270, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 20000, 110000, 10000, 30000, 120000, 10101"	"360, 30, 30, 60, 240, 30, 30, 240, 105, 30, 30, 30, 45, 180"
"m"	"10101, 10000, 110000, 180000, 50000, 180000, 110000, 120000, 10000, 110000, 120000, 10101"	"420, 15, 30, 15, 240, 15, 15, 270, 30, 30, 300, 60"
"m"	"50000, 180000, 10000, 120000, 10101, 10000, 110000, 120000, 180000, 50000"	"480, 45, 30, 165, 360, 45, 45, 165, 45, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 10101"	"420, 30, 30, 30, 210, 30, 30, 270, 30, 30, 255, 15, 60"
"m"	"10101, 10000, 110000, 50000, 110000, 50000, 10000, 10101, 50000"	"450, 15, 15, 615, 30, 75, 15, 105, 120"
"m"	"10101, 10000, 110000, 50000, 110000, 50000, 110000, 30000, 10000, 10101"	"540, 15, 15, 210, 30, 390, 30, 90, 30, 90"
"m"	"10101, 10000, 120000, 110000, 50000, 120000, 50000, 120000, 110000, 120000, 10101"	"390, 30, 30, 30, 240, 120, 210, 60, 30, 120, 180"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 10101, 120000, 110000, 120000, 10000, 120000, 10101"	"480, 30, 30, 165, 30, 165, 60, 120, 30, 90, 30, 150, 60"
"m"	"10101, 10000, 110000, 120000, 110000, 10101, 120000, 10000, 110000, 120000, 10101"	"360, 15, 30, 300, 45, 150, 165, 30, 30, 255, 60"
"m"	"10101, 10000, 110000, 30000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 30000, 10000, 30000, 120000, 10101"	"390, 60, 30, 15, 45, 180, 30, 60, 270, 45, 15, 30, 30, 30, 90, 120"
"m"	"10101, 10000, 110000, 120000, 180000, 50000, 110000, 120000, 50000, 180000, 120000, 10000, 120000, 110000, 30000, 120000, 10101"	"360, 15, 30, 30, 30, 255, 30, 30, 240, 30, 30, 30, 15, 30, 15, 135, 135"
"m"	"120000, 110000, 10101, 110000, 120000, 10000, 10101, 110000, 120000"	"300, 30, 420, 45, 225, 15, 285, 15, 105"
"m"	"10101, 10000, 110000, 50000, 10000, 120000, 10101, 120000, 110000, 10101, 50000, 10000, 110000, 120000, 10101"	"180, 15, 15, 150, 15, 30, 105, 195, 30, 165, 240, 30, 30, 135, 105"
"m"	"10101, 10000, 180000, 110000, 50000, 110000, 120000, 50000, 180000, 120000, 110000, 120000, 10000, 120000, 10101"	"390, 30, 30, 30, 240, 30, 30, 240, 45, 75, 30, 120, 30, 60, 60"
"m"	"10101, 10000, 110000, 50000, 110000, 50000, 30000, 110000, 10000, 50000, 120000, 10101"	"480, 30, 30, 180, 30, 300, 30, 45, 45, 120, 135, 15"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 10101, 50000, 180000, 120000, 110000, 120000, 10000, 120000, 10101"	"420, 30, 15, 15, 240, 15, 15, 30, 240, 15, 45, 30, 75, 30, 165, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 120000, 180000, 120000, 110000, 10000, 120000, 60000"	"390, 15, 15, 60, 240, 30, 270, 60, 60, 90, 30, 15, 105, 60"
"m"	"10101, 10000, 50000, 110000, 50000, 110000, 50000, 10000, 110000, 120000, 10101"	"480, 15, 15, 30, 210, 30, 360, 15, 30, 195, 60"
"m"	"10101, 30000, 10000, 110000, 180000, 50000, 110000, 120000, 10101, 50000, 110000, 50000, 180000, 120000, 30000, 10101"	"330, 45, 30, 15, 30, 270, 30, 45, 45, 240, 30, 60, 30, 60, 60, 120"
"m"	"10101, 10000, 110000, 30000, 120000, 30000, 110000, 30000, 120000, 30000, 110000, 120000, 10000, 10101"	"450, 15, 45, 30, 120, 45, 45, 30, 285, 60, 45, 225, 15, 30"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 50000, 110000, 10000, 50000, 10101"	"360, 15, 30, 45, 270, 30, 270, 30, 90, 30, 30, 120, 120"
"m"	"10101, 10000, 180000, 110000, 50000, 110000, 10101, 50000, 180000, 10000, 30000, 120000, 30000, 10101"	"360, 15, 30, 15, 300, 30, 60, 225, 15, 15, 45, 90, 60, 180"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 30000, 20000, 10000, 110000, 30000, 120000, 30000, 120000, 110000, 10101"	"420, 15, 15, 15, 255, 15, 60, 210, 15, 45, 15, 15, 30, 15, 60, 60, 30, 15, 135"
"m"	"10101, 10000, 110000, 50000, 110000, 120000, 50000, 10000, 110000, 120000, 10101"	"300, 30, 30, 360, 45, 45, 270, 45, 45, 210, 60"
"m"	"10101, 120000, 10000, 110000, 120000, 110000, 10101, 120000, 110000, 120000, 10000, 10101"	"300, 180, 15, 30, 195, 30, 90, 300, 60, 120, 15, 105"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 110000, 10000, 120000, 10101"	"420, 15, 15, 270, 60, 420, 30, 30, 120, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 30000, 10000, 110000, 120000, 30000, 120000, 20000, 120000"	"390, 30, 30, 30, 240, 15, 45, 240, 30, 30, 15, 15, 30, 15, 90, 45, 150"
"m"	"10101, 10000, 110000, 50000, 110000, 10101, 50000, 120000, 110000, 120000, 10000, 10101"	"420, 15, 30, 255, 30, 120, 150, 60, 45, 195, 30, 90"
"m"	"10101, 10000, 180000, 110000, 50000, 110000, 10101, 50000, 180000, 10000, 110000, 120000, 10101"	"390, 30, 60, 15, 240, 30, 30, 255, 60, 30, 30, 210, 60"
"m"	"50000, 10000, 110000, 120000, 10101, 10000, 110000, 50000"	"60, 30, 30, 60, 540, 30, 30, 660"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 30000, 120000, 110000, 120000, 10000, 120000, 10101"	"405, 30, 30, 15, 240, 30, 30, 240, 15, 60, 45, 30, 150, 15, 30, 75"
"m"	"10101, 30000, 10000, 110000, 120000, 50000, 30000, 110000, 120000, 50000, 10000, 110000, 120000"	"330, 90, 30, 30, 45, 135, 60, 30, 195, 150, 30, 30, 285"
"m"	"10101, 10000, 110000, 50000, 120000, 110000, 120000, 50000, 120000, 10000, 110000, 120000, 10101"	"360, 45, 30, 270, 30, 45, 75, 195, 30, 30, 45, 225, 60"
"m"	"10101, 10000, 120000, 110000, 120000, 110000, 120000, 10101, 120000, 110000, 120000, 10000, 10101"	"450, 30, 60, 30, 150, 30, 60, 120, 150, 30, 120, 30, 180"
"m"	"10101, 10000, 120000, 50000, 120000, 110000, 120000, 10000, 10101"	"480, 15, 45, 540, 90, 15, 135, 15, 105"
"m"	"10101, 10000, 110000, 120000, 180000, 50000, 110000, 120000, 50000, 180000, 110000, 120000, 60000, 10000, 10101"	"360, 15, 45, 45, 30, 225, 30, 60, 240, 30, 30, 120, 90, 30, 90"
"m"	"120000, 10000, 10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 10000, 110000, 120000"	"75, 15, 300, 15, 15, 60, 240, 30, 60, 210, 60, 30, 30, 300"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 10000, 120000, 110000, 120000, 10000, 10101"	"315, 15, 15, 15, 300, 30, 90, 315, 15, 15, 15, 30, 180, 15, 75"
"m"	"10101, 10000, 50000, 110000, 50000, 110000, 50000, 30000, 120000, 10101, 10000, 110000, 120000, 10000, 10101"	"240, 30, 150, 30, 300, 30, 120, 30, 90, 90, 30, 45, 45, 30, 180"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 10101, 120000, 10000, 110000, 30000, 120000, 10101"	"510, 15, 30, 165, 30, 30, 30, 210, 30, 30, 30, 270, 60"
"m"	"10101, 10000, 110000, 50000, 10000, 120000, 110000, 10101, 50000, 10000, 110000, 120000, 50000, 120000, 10101"	"420, 30, 15, 195, 15, 45, 30, 75, 255, 30, 30, 30, 60, 150, 60"
"m"	"10101, 120000, 10000, 110000, 30000, 50000, 110000, 50000, 110000, 50000, 120000, 10000, 120000"	"390, 90, 15, 30, 45, 195, 30, 315, 30, 180, 30, 30, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 10000, 120000, 50000, 180000, 110000, 120000, 10000, 20000, 120000, 10000, 10101"	"465, 15, 15, 15, 210, 30, 45, 15, 15, 300, 15, 30, 60, 30, 30, 75, 15, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 110000, 120000, 10000, 120000"	"420, 15, 15, 30, 240, 30, 30, 330, 30, 30, 150, 30, 90"
"m"	"10101, 10000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 10101"	"435, 15, 30, 240, 30, 30, 300, 30, 30, 255, 30, 15"
"m"	"10101, 50000, 10000, 110000, 120000, 50000, 120000, 110000, 50000, 110000, 50000, 10000, 120000, 10101"	"240, 90, 15, 15, 15, 345, 15, 15, 360, 30, 90, 15, 15, 180"
"m"	"10101, 10000, 120000, 110000, 180000, 50000, 180000, 120000, 110000, 120000, 50000, 180000, 120000, 110000, 120000, 10000, 120000, 10101"	"360, 15, 15, 15, 15, 240, 15, 15, 15, 45, 300, 15, 15, 15, 15, 15, 195, 120"
"m"	"120000, 10000, 10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 120000, 110000, 120000, 30000, 120000, 10000, 120000, 10101"	"90, 30, 450, 15, 15, 30, 120, 30, 30, 210, 90, 30, 120, 75, 60, 15, 15, 15"
"m"	"10101, 10000, 120000, 10000, 110000, 30000, 20000, 110000, 10101, 30000, 120000, 110000, 30000, 120000, 10000, 120000, 10101"	"360, 15, 45, 30, 15, 165, 90, 30, 150, 60, 90, 30, 30, 90, 30, 90, 120"
"m"	"10101, 10000, 180000, 50000, 110000, 120000, 50000, 180000, 110000, 120000, 30000, 10000, 10101"	"420, 30, 30, 270, 30, 30, 240, 30, 30, 90, 180, 30, 30"
"m"	"10101, 10000, 110000, 180000, 50000, 180000, 110000, 120000, 180000, 50000, 180000, 10000, 110000, 120000, 10101"	"360, 45, 30, 15, 255, 15, 30, 30, 15, 270, 15, 45, 45, 150, 120"
"m"	"50000, 120000, 30000, 110000, 120000, 10101, 10000, 120000, 110000, 50000, 110000, 50000"	"60, 30, 30, 30, 90, 540, 15, 45, 30, 165, 15, 390"
"m"	"10101, 10000, 110000, 30000, 180000, 50000, 110000, 50000, 180000, 30000, 110000, 120000, 10000, 120000, 10101"	"375, 30, 30, 30, 15, 240, 60, 240, 30, 60, 30, 120, 45, 45, 90"
"m"	"10101, 10000, 180000, 50000, 120000, 110000, 10101, 50000, 110000, 50000, 180000, 10000, 120000, 10101"	"300, 30, 60, 300, 45, 30, 45, 270, 30, 30, 60, 30, 135, 75"
"m"	"10101, 10000, 110000, 30000, 110000, 120000, 30000, 20000, 110000, 120000, 10000, 30000, 10000, 10101"	"540, 30, 30, 150, 30, 60, 120, 120, 30, 60, 30, 180, 15, 45"
"m"	"10101, 10000, 110000, 120000, 180000, 50000, 110000, 10101, 50000, 180000, 30000, 10000, 110000, 120000, 10000, 10101"	"360, 30, 15, 45, 30, 240, 15, 45, 240, 30, 30, 30, 30, 240, 15, 45"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 20000, 110000, 180000, 60000, 180000, 120000, 10000, 10101"	"420, 15, 15, 30, 240, 30, 30, 240, 30, 30, 15, 15, 150, 15, 15, 30, 120"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 10000, 110000, 120000, 60000, 120000, 10101"	"420, 15, 15, 255, 30, 315, 30, 30, 45, 45, 180, 60"
"m"	"10101, 10000, 30000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 30000, 110000, 10000, 120000, 10101"	"330, 15, 75, 15, 30, 255, 30, 30, 240, 30, 90, 30, 15, 135, 120"
"m"	"120000, 10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 30000, 110000, 120000, 10000"	"45, 435, 45, 45, 30, 120, 30, 60, 360, 30, 30, 45, 135, 30"
"m"	"10101, 10000, 180000, 50000, 110000, 120000, 50000, 110000, 180000, 10000, 110000, 120000, 10101"	"315, 30, 90, 285, 30, 75, 225, 15, 90, 15, 30, 150, 90"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 20000, 120000, 30000, 110000, 120000"	"450, 15, 15, 240, 30, 90, 60, 120, 30, 30, 360"
"m"	"10101, 10000, 110000, 180000, 50000, 120000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 120000"	"420, 15, 15, 30, 120, 15, 105, 30, 30, 240, 30, 30, 210, 30, 120"
"m"	"10101, 10000, 50000, 110000, 120000, 10000, 50000, 180000, 50000, 180000, 20000, 110000, 120000, 110000, 60000"	"600, 30, 30, 75, 30, 30, 15, 60, 315, 60, 30, 45, 90, 15, 15"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 120000, 50000, 110000, 50000, 180000, 120000, 10000, 10101"	"450, 30, 15, 30, 225, 30, 60, 120, 45, 105, 30, 120, 30, 90, 30, 30"
"m"	"10101, 10000, 30000, 180000, 50000, 110000, 50000, 180000, 110000, 120000, 180000, 50000, 180000, 120000, 110000, 10000, 120000, 10101"	"240, 15, 105, 15, 75, 15, 225, 15, 30, 90, 15, 180, 15, 105, 30, 30, 90, 150"
"m"	"10101, 10000, 110000, 10000, 30000, 180000, 50000, 110000, 10000, 10101, 50000, 180000, 110000, 120000, 10000, 60000, 120000, 10101"	"330, 30, 30, 30, 30, 45, 225, 30, 15, 15, 360, 45, 30, 45, 45, 60, 15, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 120000, 10000, 10101, 110000, 30000, 120000, 10101"	"360, 15, 15, 30, 300, 30, 150, 30, 90, 30, 30, 30, 30, 270, 30"
"m"	"120000, 10101, 10000, 110000, 180000, 50000, 180000, 110000, 10101, 120000, 60000, 120000"	"120, 420, 15, 15, 15, 135, 15, 45, 345, 120, 120, 75"
"m"	"10101, 10000, 120000, 110000, 50000, 120000, 110000, 10101, 50000, 120000, 10000, 110000, 30000, 120000, 10101"	"270, 15, 150, 45, 195, 45, 30, 90, 180, 30, 30, 30, 30, 180, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 10000, 30000, 110000, 120000, 10101"	"465, 15, 15, 15, 210, 30, 30, 240, 15, 30, 30, 30, 240, 75"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 120000, 110000, 120000, 10000, 120000, 10101"	"420, 30, 30, 15, 225, 30, 60, 255, 15, 30, 30, 60, 30, 150, 60"
"m"	"10101, 10000, 110000, 120000, 110000, 10101, 120000, 110000, 120000, 10000, 10101"	"360, 15, 45, 270, 30, 120, 240, 30, 165, 45, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 10000, 110000, 30000, 120000, 10101"	"450, 30, 15, 30, 225, 30, 270, 30, 30, 15, 60, 195, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 20000, 10000, 110000, 120000, 10101"	"435, 15, 30, 15, 225, 15, 45, 240, 15, 45, 30, 30, 120, 180"
"m"	"10101, 10000, 110000, 180000, 50000, 120000, 110000, 50000, 180000, 10000, 110000, 120000, 10101"	"435, 15, 15, 15, 240, 60, 30, 270, 30, 30, 30, 150, 120"
"m"	"10101, 10000, 180000, 50000, 110000, 10101, 50000, 110000, 120000, 10101"	"360, 60, 60, 240, 60, 60, 240, 60, 120, 180"
"m"	"10101, 10000, 110000, 120000, 110000, 10101, 120000, 10000, 10101"	"315, 15, 15, 375, 60, 120, 450, 30, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 110000, 50000, 180000, 10000, 120000"	"420, 30, 15, 45, 210, 30, 30, 285, 30, 180, 45, 15, 105"
"m"	"10101, 10000, 110000, 50000, 120000, 110000, 10101, 50000, 120000, 110000, 10000, 120000"	"450, 45, 30, 165, 30, 45, 45, 240, 90, 45, 45, 210"
"m"	"10101, 10000, 110000, 30000, 120000, 110000, 120000, 10000, 20000, 110000, 120000, 10000, 10101"	"855, 15, 15, 75, 105, 30, 150, 15, 60, 60, 30, 15, 15"
"m"	"10101, 10000, 110000, 120000, 180000, 50000, 110000, 120000, 50000, 180000, 110000, 120000, 10000, 10101"	"300, 30, 30, 90, 15, 255, 30, 30, 330, 15, 30, 165, 30, 90"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 120000, 10000, 10101"	"450, 15, 15, 15, 225, 30, 60, 270, 15, 30, 75, 30, 90, 15, 105"
"m"	"10101, 10000, 50000, 120000, 110000, 10101, 50000, 110000, 120000, 10000, 10101"	"240, 30, 390, 60, 30, 210, 180, 30, 150, 30, 90"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 180000, 50000, 180000, 30000, 10000, 110000, 120000, 10101"	"420, 15, 30, 15, 240, 30, 60, 15, 195, 15, 30, 30, 30, 195, 120"
"m"	"10101, 10000, 120000, 180000, 50000, 110000, 50000, 180000, 120000, 10000, 120000, 10101"	"420, 15, 30, 15, 240, 30, 210, 15, 285, 30, 120, 30"
"m"	"10101, 10000, 30000, 110000, 30000, 120000, 110000, 120000, 10101, 120000, 50000, 110000, 120000, 10000, 120000, 10101"	"330, 15, 75, 30, 120, 150, 30, 30, 30, 90, 180, 30, 90, 30, 30, 180"
"m"	"50000, 10000, 10101, 10000, 110000, 50000, 120000, 50000, 110000, 50000, 10000, 120000, 50000"	"60, 30, 450, 30, 30, 150, 45, 105, 30, 150, 15, 165, 180"
"m"	"10101, 10000, 110000, 30000, 180000, 50000, 110000, 120000, 50000, 180000, 30000, 110000, 120000, 30000, 10000, 10101"	"360, 30, 30, 30, 30, 240, 30, 30, 240, 30, 30, 30, 60, 45, 15, 210"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 110000, 120000, 10000, 10101"	"480, 30, 15, 15, 180, 30, 300, 15, 15, 225, 15, 120"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 110000, 120000, 10000, 120000, 10101"	"360, 30, 30, 300, 30, 330, 30, 30, 30, 210, 60"
"m"	"10101, 10000, 30000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 120000, 110000, 120000, 10000, 10101"	"390, 15, 15, 30, 30, 240, 30, 30, 240, 30, 30, 30, 120, 30, 180"
"m"	"10101, 10000, 180000, 110000, 50000, 120000, 110000, 180000, 120000, 10000"	"345, 15, 60, 30, 510, 240, 120, 75, 30, 15"
"m"	"10101, 10000, 110000, 30000, 180000, 50000, 110000, 120000, 50000, 110000, 180000, 10000, 120000, 10101"	"480, 15, 15, 60, 30, 270, 30, 90, 270, 30, 30, 30, 60, 30"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 10101, 10000, 50000"	"540, 15, 15, 135, 45, 90, 105, 30, 465"
"m"	"10101, 10000, 110000, 180000, 50000, 10101, 110000, 50000, 180000, 120000, 110000, 120000, 10000, 120000"	"420, 15, 30, 15, 240, 60, 30, 240, 15, 60, 30, 225, 15, 45"
"m"	"50000, 180000, 10101, 10000, 110000, 20000, 120000, 110000, 10101, 120000, 110000, 180000, 50000"	"120, 15, 405, 30, 15, 60, 120, 30, 180, 90, 15, 15, 345"
"m"	"10101, 10000, 120000, 110000, 120000, 10101, 120000, 110000, 120000, 180000, 50000"	"600, 30, 60, 30, 60, 60, 150, 30, 165, 15, 240"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 110000, 120000, 10101"	"435, 15, 30, 15, 225, 45, 330, 15, 30, 150, 150"
"m"	"10101, 10000, 120000, 30000, 110000, 120000, 30000, 110000, 10101, 120000, 30000, 110000, 120000, 10000, 120000, 10101"	"315, 15, 90, 15, 15, 240, 45, 30, 105, 60, 165, 30, 120, 15, 60, 120"
"m"	"10101, 10000, 110000, 50000, 110000, 50000, 110000, 10000, 120000, 10101"	"390, 30, 45, 255, 60, 330, 60, 30, 120, 120"
"m"	"10101, 10000, 110000, 20000, 180000, 50000, 180000, 110000, 10101, 180000, 50000, 180000, 30000, 110000, 10000, 30000, 120000, 10101"	"375, 30, 30, 30, 15, 225, 15, 30, 45, 15, 210, 15, 45, 15, 15, 30, 150, 150"
"m"	"10101, 10000, 110000, 30000, 180000, 120000, 50000, 180000, 120000, 10000, 120000, 110000, 120000, 10101"	"390, 15, 15, 15, 30, 15, 480, 30, 15, 15, 30, 30, 240, 120"
"m"	"10101, 10000, 120000, 30000, 110000, 20000, 50000, 110000, 120000, 10101, 50000, 110000, 10000, 120000, 10101"	"300, 15, 135, 30, 30, 30, 180, 30, 60, 90, 180, 30, 30, 120, 180"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 110000, 120000, 10000, 10101"	"585, 15, 15, 30, 195, 30, 165, 30, 120, 210, 30, 15"
"m"	"10101, 10000, 180000, 50000, 110000, 10101, 50000, 120000, 110000, 120000, 30000, 10101"	"405, 15, 15, 285, 15, 45, 240, 45, 45, 210, 60, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 30000, 110000, 120000, 10000, 10101"	"420, 15, 30, 15, 240, 30, 270, 15, 75, 30, 210, 30, 60"
